course_a,course_b,path_a,path_b,similarity,distance
00819,00819,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-00819-E.yml,0.76279378,0.23720622
82202,82202,data/courses/.files/2025/course-82202-A.yml,data/courses/.files/2025/course-82202-B.yml,0.76251977,0.23748023
07276,78501,data/courses/.files/2025/course-07276-E.yml,data/courses/.files/2025/course-78501.yml,0.76225186,0.23774814
11929,11929,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-11929-C.yml,0.76210378,0.23789622
28651,94272,data/courses/.files/2025/course-28651.yml,data/courses/.files/2025/course-94272.yml,0.76166072,0.23833928
72942,88325,data/courses/.files/2025/course-72942.yml,data/courses/.files/2025/course-88325.yml,0.76152787,0.23847213
B8379,B8390,data/courses/.files/2025/course-B8379.yml,data/courses/.files/2025/course-B8390.yml,0.76140506,0.23859494
91258,91258,data/courses/.files/2025/course-91258-A.yml,data/courses/.files/2025/course-91258-C.yml,0.76102370,0.23897630
91258,B0385,data/courses/.files/2025/course-91258-C.yml,data/courses/.files/2025/course-B0385.yml,0.76102370,0.23897630
78778,98931,data/courses/.files/2025/course-78778.yml,data/courses/.files/2025/course-98931.yml,0.76088586,0.23911414
17628,B8562,data/courses/.files/2025/course-17628.yml,data/courses/.files/2025/course-B8562.yml,0.76077809,0.23922191
00819,00819,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-00819-E.yml,0.76070176,0.23929824
10906,28027,data/courses/.files/2025/course-10906-B.yml,data/courses/.files/2025/course-28027.yml,0.76053309,0.23946691
35367,94247,data/courses/.files/2025/course-35367.yml,data/courses/.files/2025/course-94247.yml,0.76047782,0.23952218
69773,94272,data/courses/.files/2025/course-69773.yml,data/courses/.files/2025/course-94272.yml,0.76039956,0.23960044
85733,94247,data/courses/.files/2025/course-85733.yml,data/courses/.files/2025/course-94247.yml,0.75993534,0.24006466
40720,B2125,data/courses/.files/2025/course-40720.yml,data/courses/.files/2025/course-B2125.yml,0.75972172,0.24027828
95605,95645,data/courses/.files/2025/course-95605.yml,data/courses/.files/2025/course-95645.yml,0.75967795,0.24032205
11929,37635,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-37635.yml,0.75893760,0.24106240
90147,91248,data/courses/.files/2025/course-90147.yml,data/courses/.files/2025/course-91248.yml,0.75839614,0.24160386
72942,93466,data/courses/.files/2025/course-72942.yml,data/courses/.files/2025/course-93466.yml,0.75816371,0.24183629
41731,95645,data/courses/.files/2025/course-41731-B.yml,data/courses/.files/2025/course-95645.yml,0.75781667,0.24218333
00819,B1703,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-B1703.yml,0.75754278,0.24245722
37063,73092,data/courses/.files/2025/course-37063.yml,data/courses/.files/2025/course-73092.yml,0.75723694,0.24276306
11929,B4913,data/courses/.files/2025/course-11929-C.yml,data/courses/.files/2025/course-B4913.yml,0.75699594,0.24300406
37262,65094,data/courses/.files/2025/course-37262.yml,data/courses/.files/2025/course-65094.yml,0.75670843,0.24329157
93363,95602,data/courses/.files/2025/course-93363.yml,data/courses/.files/2025/course-95602.yml,0.75625734,0.24374266
91411,92858,data/courses/.files/2025/course-91411.yml,data/courses/.files/2025/course-92858.yml,0.75566208,0.24433792
30376,96142,data/courses/.files/2025/course-30376.yml,data/courses/.files/2025/course-96142.yml,0.75515134,0.24484866
90147,B0069,data/courses/.files/2025/course-90147.yml,data/courses/.files/2025/course-B0069.yml,0.75495447,0.24504553
00819,07276,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-07276-B.yml,0.75492492,0.24507508
95611,96793,data/courses/.files/2025/course-95611.yml,data/courses/.files/2025/course-96793.yml,0.75477830,0.24522170
87898,B6082,data/courses/.files/2025/course-87898.yml,data/courses/.files/2025/course-B6082.yml,0.75471523,0.24528477
28724,37063,data/courses/.files/2025/course-28724.yml,data/courses/.files/2025/course-37063.yml,0.75430830,0.24569170
