course_a,course_b,path_a,path_b,similarity,distance
09679,96143,data/courses/.files/2025/course-09679.yml,data/courses/.files/2025/course-96143.yml,0.50368610,0.49631390
88145,B5474,data/courses/.files/2025/course-88145.yml,data/courses/.files/2025/course-B5474.yml,0.50368506,0.49631494
95604,B5665,data/courses/.files/2025/course-95604.yml,data/courses/.files/2025/course-B5665.yml,0.50367413,0.49632587
37635,98671,data/courses/.files/2025/course-37635.yml,data/courses/.files/2025/course-98671.yml,0.50366786,0.49633214
69867,77780,data/courses/.files/2025/course-69867.yml,data/courses/.files/2025/course-77780.yml,0.50364914,0.49635086
85445,B8836,data/courses/.files/2025/course-85445.yml,data/courses/.files/2025/course-B8836.yml,0.50364800,0.49635200
90074,90477,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-90477.yml,0.50364412,0.49635588
29227-A,69430,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-69430.yml,0.50362675,0.49637325
78096,95630,data/courses/.files/2025/course-78096.yml,data/courses/.files/2025/course-95630.yml,0.50362621,0.49637379
27311-A,B8018,data/courses/.files/2025/course-27311-A.yml,data/courses/.files/2025/course-B8018.yml,0.50362418,0.49637582
91266,96642,data/courses/.files/2025/course-91266.yml,data/courses/.files/2025/course-96642.yml,0.50362410,0.49637590
72940,79194,data/courses/.files/2025/course-72940.yml,data/courses/.files/2025/course-79194.yml,0.50362358,0.49637642
90477,B0832,data/courses/.files/2025/course-90477.yml,data/courses/.files/2025/course-B0832.yml,0.50360980,0.49639020
09679,66858,data/courses/.files/2025/course-09679.yml,data/courses/.files/2025/course-66858.yml,0.50359829,0.49640171
85301,96793,data/courses/.files/2025/course-85301.yml,data/courses/.files/2025/course-96793.yml,0.50359791,0.49640209
37635,B8536,data/courses/.files/2025/course-37635.yml,data/courses/.files/2025/course-B8536.yml,0.50359567,0.49640433
07276-C,16870,data/courses/.files/2025/course-07276-C.yml,data/courses/.files/2025/course-16870.yml,0.50358401,0.49641599
98931,B0832,data/courses/.files/2025/course-98931.yml,data/courses/.files/2025/course-B0832.yml,0.50358161,0.49641839
93469,B0070,data/courses/.files/2025/course-93469.yml,data/courses/.files/2025/course-B0070.yml,0.50357948,0.49642052
29227,81683,data/courses/.files/2025/course-29227.yml,data/courses/.files/2025/course-81683.yml,0.50357803,0.49642197
29227-A,40720,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-40720.yml,0.50357461,0.49642539
03716,66857,data/courses/.files/2025/course-03716.yml,data/courses/.files/2025/course-66857.yml,0.50357431,0.49642569
09730,48693,data/courses/.files/2025/course-09730.yml,data/courses/.files/2025/course-48693.yml,0.50357260,0.49642740
30376,87901,data/courses/.files/2025/course-30376.yml,data/courses/.files/2025/course-87901.yml,0.50357194,0.49642806
72796,B0011,data/courses/.files/2025/course-72796.yml,data/courses/.files/2025/course-B0011.yml,0.50356950,0.49643050
65094,69731,data/courses/.files/2025/course-65094.yml,data/courses/.files/2025/course-69731.yml,0.50356043,0.49643957
88145,93470,data/courses/.files/2025/course-88145.yml,data/courses/.files/2025/course-93470.yml,0.50355142,0.49644858
