course_id,course_title,neighbor_rank,neighbor_course_id,neighbor_title,similarity
11925,Computer Architecture,6,09730-A,Principles of Informatics,0.76692566
11925,Computer Architecture,7,15305,Foundations of Informatics A,0.76500375
11925,Computer Architecture,8,09730-B,Principles of Informatics,0.75858519
11925,Computer Architecture,9,B5782,Algorithms and Data Structures for Computational Biology,0.75843320
11925,Computer Architecture,10,69731-A,Computer Architecture,0.75640146
11929-A,Algorithm and Data Structures,1,B5782,Algorithms and Data Structures for Computational Biology,0.86529419
11929-A,Algorithm and Data Structures,2,11929-C,Algorithms and Data Structures,0.84907590
11929-A,Algorithm and Data Structures,3,37635,Data Structure and Algorithms,0.84420816
11929-A,Algorithm and Data Structures,4,11929-D,Algorithms and Data Structures,0.82345559
11929-A,Algorithm and Data Structures,5,95602,Programming and Computer Architectures,0.80751357
11929-A,Algorithm and Data Structures,6,B8105,Computational Management of Data,0.79847135
11929-A,Algorithm and Data Structures,7,11929-B,Algorithms and Data Structures,0.79832817
11929-A,Algorithm and Data Structures,8,90147,Artificial intelligence,0.78751685
11929-A,Algorithm and Data Structures,9,41169,Theoretical Computer Science,0.78683909
11929-A,Algorithm and Data Structures,10,85189,Systems and Algorithms for Data Science,0.78237797
11929-B,Algorithms and Data Structures,1,11929-D,Algorithms and Data Structures,0.95026080
11929-B,Algorithms and Data Structures,2,11929-C,Algorithms and Data Structures,0.81488002
11929-B,Algorithms and Data Structures,3,37635,Data Structure and Algorithms,0.80788489
11929-B,Algorithms and Data Structures,4,11929-A,Algorithm and Data Structures,0.79832817
11929-B,Algorithms and Data Structures,5,B5782,Algorithms and Data Structures for Computational Biology,0.79095758
11929-B,Algorithms and Data Structures,6,95631-A,Machine Learning and Data Mining,0.76684888
11929-B,Algorithms and Data Structures,7,85301,Algorithms and Data Structures in Biology,0.76520768
11929-B,Algorithms and Data Structures,8,B4913,ALGORITMI E STRUTTURE DATI,0.74609163
11929-B,Algorithms and Data Structures,9,81609,"Languages, Compilers and Computational Models",0.73994954
11929-B,Algorithms and Data Structures,10,40720,Data Mining,0.73596088
11929-C,Algorithms and Data Structures,1,37635,Data Structure and Algorithms,0.99300487
11929-C,Algorithms and Data Structures,2,11929-A,Algorithm and Data Structures,0.84907590
11929-C,Algorithms and Data Structures,3,11929-D,Algorithms and Data Structures,0.84785747
11929-C,Algorithms and Data Structures,4,B5782,Algorithms and Data Structures for Computational Biology,0.82894906
11929-C,Algorithms and Data Structures,5,11929-B,Algorithms and Data Structures,0.81488002
11929-C,Algorithms and Data Structures,6,B4913,ALGORITMI E STRUTTURE DATI,0.80254350
11929-C,Algorithms and Data Structures,7,95602,Programming and Computer Architectures,0.77654696
11929-C,Algorithms and Data Structures,8,40720,Data Mining,0.76810440
11929-C,Algorithms and Data Structures,9,85189,Systems and Algorithms for Data Science,0.76699235
11929-C,Algorithms and Data Structures,10,41169,Theoretical Computer Science,0.76674651
11929-D,Algorithms and Data Structures,1,11929-B,Algorithms and Data Structures,0.95026080
11929-D,Algorithms and Data Structures,2,11929-C,Algorithms and Data Structures,0.84785747
11929-D,Algorithms and Data Structures,3,37635,Data Structure and Algorithms,0.84086234
11929-D,Algorithms and Data Structures,4,11929-A,Algorithm and Data Structures,0.82345559
11929-D,Algorithms and Data Structures,5,B5782,Algorithms and Data Structures for Computational Biology,0.80804237
11929-D,Algorithms and Data Structures,6,85301,Algorithms and Data Structures in Biology,0.77629697
11929-D,Algorithms and Data Structures,7,B4913,ALGORITMI E STRUTTURE DATI,0.75650704
11929-D,Algorithms and Data Structures,8,41169,Theoretical Computer Science,0.75016391
11929-D,Algorithms and Data Structures,9,95602,Programming and Computer Architectures,0.73726598
11929-D,Algorithms and Data Structures,10,40720,Data Mining,0.73088986
11933,Theoretical Computer Science,1,41169,Theoretical Computer Science,0.92022785
